,case,rmse,privacy,real,uniform,nclasses,uniform_original
0,1tfNone_2_uniform,0.0,1,t,0,2,1
1,1ff_2_uniform,19.79898987322333,1,f,0,2,1
2,1ft_2_uniform,59.39696961966999,1,f,1,2,1
3,1tt_2_uniform,0.0,1,t,1,2,1
4,1mf_2_uniform,59.39696961966999,1,m,0,2,1
5,1mt_2_uniform,19.79898987322333,1,m,1,2,1
6,1tfNone_2_uniform,0.0,1,t,0,2,1
7,1ff_2_uniform,2.8284271247461903,1,f,0,2,1
8,1ft_2_uniform,14.142135623730951,1,f,1,2,1
9,1tt_2_uniform,0.0,1,t,1,2,1
10,1mf_2_uniform,82.02438661763951,1,m,0,2,1
11,1mt_2_uniform,84.8528137423857,1,m,1,2,1
12,1tfNone_2_uniform,0.0,1,t,0,2,1
13,1ff_2_uniform,28.284271247461902,1,f,0,2,1
14,1ft_2_uniform,16.97056274847714,1,f,1,2,1
15,1tt_2_uniform,0.0,1,t,1,2,1
16,1mf_2_uniform,31.11269837220809,1,m,0,2,1
17,1mt_2_uniform,2.8284271247461903,1,m,1,2,1
18,1tfNone_2_uniform,0.0,1,t,0,2,1
19,1ff_2_uniform,39.59797974644666,1,f,0,2,1
20,1ft_2_uniform,82.02438661763951,1,f,1,2,1
21,1tt_2_uniform,0.0,1,t,1,2,1
22,1mf_2_uniform,5.656854249492381,1,m,0,2,1
23,1mt_2_uniform,33.94112549695428,1,m,1,2,1
24,1tfNone_2_uniform,0.0,1,t,0,2,1
25,1ff_2_uniform,73.53910524340094,1,f,0,2,1
26,1ft_2_uniform,28.284271247461902,1,f,1,2,1
27,1tt_2_uniform,0.0,1,t,1,2,1
28,1mf_2_uniform,11.313708498984761,1,m,0,2,1
29,1mt_2_uniform,22.627416997969522,1,m,1,2,1
30,1tfNone_2_uniform,0.0,1,t,0,2,1
31,1ff_2_uniform,19.79898987322333,1,f,0,2,1
32,1ft_2_uniform,36.76955262170047,1,f,1,2,1
33,1tt_2_uniform,0.0,1,t,1,2,1
34,1mf_2_uniform,42.42640687119285,1,m,0,2,1
35,1mt_2_uniform,33.94112549695428,1,m,1,2,1
36,1tfNone_2_uniform,0.0,1,t,0,2,1
37,1ff_2_uniform,14.142135623730951,1,f,0,2,1
38,1ft_2_uniform,62.22539674441618,1,f,1,2,1
39,1tt_2_uniform,0.0,1,t,1,2,1
40,1mf_2_uniform,70.71067811865476,1,m,0,2,1
41,1mt_2_uniform,19.79898987322333,1,m,1,2,1
42,1tfNone_2_uniform,0.0,1,t,0,2,1
43,1ff_2_uniform,113.13708498984761,1,f,0,2,1
44,1ft_2_uniform,25.45584412271571,1,f,1,2,1
45,1tt_2_uniform,0.0,1,t,1,2,1
46,1mf_2_uniform,22.627416997969522,1,m,0,2,1
47,1mt_2_uniform,33.94112549695428,1,m,1,2,1
48,1tfNone_2_uniform,0.0,1,t,0,2,1
49,1ff_2_uniform,107.48023074035522,1,f,0,2,1
50,1ft_2_uniform,45.254833995939045,1,f,1,2,1
51,1tt_2_uniform,0.0,1,t,1,2,1
52,1mf_2_uniform,11.313708498984761,1,m,0,2,1
53,1mt_2_uniform,16.97056274847714,1,m,1,2,1
54,1tfNone_2_uniform,0.0,1,t,0,2,1
55,1ff_2_uniform,45.254833995939045,1,f,0,2,1
56,1ft_2_uniform,31.11269837220809,1,f,1,2,1
57,1tt_2_uniform,0.0,1,t,1,2,1
58,1mf_2_uniform,144.2497833620557,1,m,0,2,1
59,1mt_2_uniform,5.656854249492381,1,m,1,2,1
60,1tfNone_2_exponential,0.0,1,t,0,2,0
61,1ff_2_exponential,503.4600282048218,1,f,0,2,0
62,1ft_2_exponential,531.7442994522837,1,f,1,2,0
63,1tt_2_exponential,0.0,1,t,1,2,0
64,1mf_2_exponential,438.4062043356595,1,m,0,2,0
65,1mt_2_exponential,458.2051942088828,1,m,1,2,0
66,1tfNone_2_exponential,0.0,1,t,0,2,0
67,1ff_2_exponential,517.6021638285528,1,f,0,2,0
68,1ft_2_exponential,438.4062043356595,1,f,1,2,0
69,1tt_2_exponential,0.0,1,t,1,2,0
70,1mf_2_exponential,500.63160108007565,1,m,0,2,0
71,1mt_2_exponential,528.9158723275375,1,m,1,2,0
72,1tfNone_2_exponential,0.0,1,t,0,2,0
73,1ff_2_exponential,455.3767670841366,1,f,0,2,0
74,1ft_2_exponential,424.26406871192853,1,f,1,2,0
75,1tt_2_exponential,0.0,1,t,1,2,0
76,1mf_2_exponential,509.11688245431424,1,m,0,2,0
77,1mt_2_exponential,472.34732983261375,1,m,1,2,0
78,1tfNone_2_exponential,0.0,1,t,0,2,0
79,1ff_2_exponential,526.0874452027914,1,f,0,2,0
80,1ft_2_exponential,557.2001435749994,1,f,1,2,0
81,1tt_2_exponential,0.0,1,t,1,2,0
82,1mf_2_exponential,480.83261120685233,1,m,0,2,0
83,1mt_2_exponential,537.4011537017761,1,m,1,2,0
84,1tfNone_2_exponential,0.0,1,t,0,2,0
85,1ff_2_exponential,461.033621333629,1,f,0,2,0
86,1ft_2_exponential,463.86204845837517,1,f,1,2,0
87,1tt_2_exponential,0.0,1,t,1,2,0
88,1mf_2_exponential,509.11688245431424,1,m,0,2,0
89,1mt_2_exponential,429.9209229614209,1,m,1,2,0
90,1tfNone_2_exponential,0.0,1,t,0,2,0
91,1ff_2_exponential,418.60721446243616,1,f,0,2,0
92,1ft_2_exponential,585.4844148224613,1,f,1,2,0
93,1tt_2_exponential,0.0,1,t,1,2,0
94,1mf_2_exponential,503.4600282048218,1,m,0,2,0
95,1mt_2_exponential,466.6904755831214,1,m,1,2,0
96,1tfNone_2_exponential,0.0,1,t,0,2,0
97,1ff_2_exponential,517.6021638285528,1,f,0,2,0
98,1ft_2_exponential,520.430590953299,1,f,1,2,0
99,1tt_2_exponential,0.0,1,t,1,2,0
100,1mf_2_exponential,523.2590180780452,1,m,0,2,0
101,1mt_2_exponential,543.0580079512685,1,m,1,2,0
102,1tfNone_2_exponential,0.0,1,t,0,2,0
103,1ff_2_exponential,486.4894654563447,1,f,0,2,0
104,1ft_2_exponential,441.23463146040564,1,f,1,2,0
105,1tt_2_exponential,0.0,1,t,1,2,0
106,1mf_2_exponential,427.0924958366747,1,m,0,2,0
107,1mt_2_exponential,452.54833995939043,1,m,1,2,0
108,1tfNone_2_exponential,0.0,1,t,0,2,0
109,1ff_2_exponential,494.9747468305833,1,f,0,2,0
110,1ft_2_exponential,478.0041840821061,1,f,1,2,0
111,1tt_2_exponential,0.0,1,t,1,2,0
112,1mf_2_exponential,528.9158723275375,1,m,0,2,0
113,1mt_2_exponential,469.51890270786754,1,m,1,2,0
114,1tfNone_2_exponential,0.0,1,t,0,2,0
115,1ff_2_exponential,441.23463146040564,1,f,0,2,0
116,1ft_2_exponential,483.6610383315985,1,f,1,2,0
117,1tt_2_exponential,0.0,1,t,1,2,0
118,1mf_2_exponential,483.6610383315985,1,m,0,2,0
119,1mt_2_exponential,483.6610383315985,1,m,1,2,0
120,1tfNone_3_uniform,0.0,1,t,0,3,1
121,1ff_3_uniform,33.13608305156178,1,f,0,3,1
122,1ft_3_uniform,19.949937343260004,1,f,1,3,1
123,1tt_3_uniform,0.0,1,t,1,3,1
124,1mf_3_uniform,13.490737563232042,1,m,0,3,1
125,1mt_3_uniform,66.19667665374146,1,m,1,3,1
126,1tfNone_3_uniform,0.0,1,t,0,3,1
127,1ff_3_uniform,15.748015748023622,1,f,0,3,1
